	cell9
793	36.533
794	37.417
795	36.767
796	38.15
797	38.567
798	37.133
799	36.75
800	37.633
801	38.533
802	37.783
803	38.867
804	37.883
805	37.067
806	37.217
807	37.167
808	38.05
809	37.1
810	36
811	37.383
812	37.983
813	36.733
814	37.333
815	37.067
816	38.133
817	38.233
818	38.95
819	37.067
820	37.55
821	37.683
822	38.033
823	36.35
824	38.767
825	38.517
826	39.533
827	37.833
828	39.067
829	38.15
830	37.95
831	38.05
832	37.783
833	37.95
834	37.55
835	36.667
836	37.233
837	38.683
838	38.15
839	37.35
840	36.85
841	37.533
842	37.567
843	37.8
844	37.917
845	37.367
846	37.417
847	38.833
848	37.317
849	37.533
850	37.167
851	36.383
852	38.85
853	37.717
854	37.5
855	37.6
856	37.3
857	37.133
858	37.067
859	37.4
860	37.433
861	37.033
862	37.667
863	36.733
864	37.883
865	38.65
866	38.4
867	37.25
868	37.533
869	35.567
870	37.9
871	36.9
872	37.333
873	37.7
874	36.5
875	37.067
876	36.633
877	37.433
878	36.75
879	37.933
880	37.517
881	36.267
882	37.65
883	37.067
884	36.35
885	37.867
886	36.567
887	38.767
888	36.517
889	37.767
890	38.017
891	36.183
892	37.833
893	37.3
894	36.867
895	38.1
896	37.55
897	37.033
898	37.683
899	38.3
900	37.267
901	36.467
902	37.117
903	38.283
904	36.5
905	37.6
906	38.067
907	36.933
908	37.733
909	37.583
910	37.017
911	38.033
912	37.083
913	37.633
914	38.3
915	37.8
916	35.833
917	37.383
918	37.667
919	37.5
920	37.533
921	37.767
922	37.533
923	36.55
924	37.017
925	37.317
926	36.95
927	37.183
928	37.4
929	37.133
930	36.9
931	37.4
932	37.95
933	37.133
934	36.317
935	37.283
936	37.933
937	37.383
938	38.117
939	36.233
940	38.2
941	36.8
942	36.417
943	36.717
944	37.017
945	37.717
946	37.683
947	37.15
948	36.45
949	36.583
950	37.1
951	37.283
952	37.317
953	36.783
954	36.75
955	36.433
956	36.883
957	37.817
958	38.017
959	37.967
960	36.433
961	36.7
962	36.95
963	37.1
964	38
965	36.133
966	37.783
