	 cell2
29,374	0,135255
29,412	0,131607
29,45	0,128949
29,488	0,128963
29,526	0,127481
29,564	0,125196
29,602	0,122344
29,64	0,117556
29,678	0,11385
29,716	0,11363
29,754	0,107015
29,792	0,103406
29,83	0,101117
29,868	0,093467
29,906	0,089735
29,944	0,08524
29,982	0,083823
30,02	0,083249
30,058	0,075158
30,096	0,075408
30,134	0,07157
30,172	0,073386
30,21	0,069717
30,248	0,06996
30,286	0,071199
30,324	0,068956
30,362	0,065543
30,4	0,067173
30,438	0,063541
30,476	0,058733
30,514	0,057985
30,552	0,058544
30,59	0,059403
30,628	0,053764
30,666	0,048074
30,704	0,046205
30,742	0,046863
30,78	0,048195
30,818	0,050036
30,856	0,048093
30,894	0,0482
30,932	0,046092
30,97	0,044741
31,008	0,043283
31,046	0,040417
31,084	0,038341
31,122	0,03638
31,16	0,035249
31,198	0,035345
31,236	0,034789
31,274	0,030175
31,312	0,029242
31,35	0,031997
31,388	0,032028
31,426	0,027066
31,464	0,027888
31,502	0,029456
31,54	0,026334
31,578	0,021738
31,616	0,021781
31,654	0,020492
31,692	0,019232
31,73	0,017428
31,768	0,016402
31,806	0,015487
31,844	0,011649
31,882	0,011099
31,92	0,008846
31,958	0,013018
31,996	0,011176
32,034	0,008685
32,072	0,007994
32,11	0,006898
32,148	0,009457
32,186	0,00732
32,224	0,005523
32,262	0,005333
32,3	0,007691
32,338	0,006194
32,376	0,006459
32,414	0,007168
32,452	0,006106
32,49	0,003285
32,528	0,003487
32,566	0,001283
32,604	-0,003835
32,642	-0,006023
32,68	-0,004084
32,718	-0,003537
32,756	-0,004721
32,794	-0,001603
32,832	-0,001532
32,87	-0,002916
32,908	-0,002489
32,946	-0,003091
32,984	-0,000463
33,022	0,002117
33,06	0,001642
33,098	-0,001119
33,136	0,001228
33,174	0,001288
33,212	-0,000742
33,25	-0,000515
33,288	-0,001191
33,326	0,000111
33,364	-0,001904
33,402	-0,001169
33,44	0,000189
33,478	-0,003342
33,516	-0,005224
33,554	-0,003068
33,592	-0,004477
33,63	-0,003875
33,668	-0,004969
33,706	-0,006057
33,744	-0,001389
33,782	-0,001016
33,82	0,000961
33,858	0,000174
33,896	0,003191
33,934	0,002434
33,972	-0,000031
34,01	-0,001088
34,048	-0,002147
34,086	-0,000138
34,124	0,000318
34,162	0,002558
34,2	-0,000499
34,238	-0,001553
34,276	-0,001425
34,314	-0,00339
34,352	-0,004745
34,39	-0,005304
34,428	-0,003055
34,466	-0,00355
34,504	-0,002309
34,542	-0,001876
34,58	-0,00114
34,618	-0,004448
34,656	-0,004661
34,694	-0,007051
34,732	-0,005626
34,77	-0,00495
34,808	-0,006997
34,846	-0,008853
34,884	-0,005025
34,922	-0,004899
34,96	-0,00177
34,998	-0,004623
35,036	-0,005482
35,074	-0,00606
35,112	-0,00763
35,15	-0,001987
35,188	0,001248
35,226	-0,005992
35,264	-0,00328
35,302	-0,005175
35,34	-0,004314
35,378	-0,007351
35,416	-0,001845
35,454	0,00426
35,492	0,016849
35,53	0,031567
35,568	0,042503
35,606	0,057274
35,644	0,075272
35,682	0,088431
35,72	0,099742
35,758	0,113697
35,796	0,12095
35,834	0,127321
35,872	0,132714
35,91	0,131597
35,948	0,132065
35,986	0,138218
36,024	0,145637
36,062	0,155238
36,1	0,16345
36,138	0,165399
36,176	0,169239
36,214	0,170811
36,252	0,17296
36,29	0,17136
36,328	0,169754
36,366	0,166174
36,404	0,162483
36,442	0,163667
36,48	0,162641
36,518	0,160918
36,556	0,159401
36,594	0,154809
36,632	0,153475
36,67	0,147804
36,708	0,142624
36,746	0,137997
36,784	0,131076
36,822	0,127564
36,86	0,127076
36,898	0,118707
36,936	0,114785
36,974	0,112773
37,012	0,115346
37,05	0,106802
37,088	0,102834
37,126	0,099652
37,164	0,099186
37,202	0,095362
37,24	0,093134
37,278	0,08957
37,316	0,08756
37,354	0,082107
37,392	0,08065
37,43	0,079101
37,468	0,078069
37,506	0,074708
37,544	0,072468
37,582	0,070076
37,62	0,06736
37,658	0,066147
37,696	0,06549
37,734	0,060521
37,772	0,056162
37,81	0,056098
37,848	0,051321
37,886	0,048059
37,924	0,048017
37,962	0,049315
38	0,047239
38,038	0,047936
38,076	0,04673
38,114	0,04561
38,152	0,045963
38,19	0,045283
38,228	0,045582
38,266	0,042678
38,304	0,03948
38,342	0,038461
38,38	0,039057
38,418	0,034542
38,456	0,032067
38,494	0,030024
38,532	0,024349
38,57	0,020216
38,608	0,020045
38,646	0,018149
38,684	0,015322
38,722	0,01534
38,76	0,017481
38,798	0,016575
38,836	0,017137
38,874	0,015718
38,912	0,014309
38,95	0,017721
38,988	0,013085
39,026	0,009999
39,064	0,007663
39,102	0,006732
39,14	0,003518
39,178	0,002984
39,216	0,001283
39,254	0,002011
39,292	-0,000388
39,33	-0,000893
39,368	-0,00197
39,406	0,000271
39,444	-0,001151
39,482	0,001825
39,52	-0,000298
39,558	-0,001253
39,596	0,000608
39,634	-0,000587
39,672	-0,003684
39,71	-0,001107
39,748	-0,002478
39,786	-0,006332
